url_hash,facebook_shares,twitter_shares,source_credibility,misinformation
3685,12000,23000,alternative,1
3687,478,159,alternative,1
3689,109,22,alternative,1
3692,13000,653,alternative,1
3693,119,31,alternative,1
3733,122,2,alternative,1
3734,3000,1000,socialmedia,1
3735,77000,628,socialmedia,1
3736,45,16,socialmedia,1
3737,16000,1,socialmedia,1
3764,2,0,mainstream,1
3779,299,136,socialmedia,1
3780,322,53,socialmedia,1
3812,32,15,alternative,2
3813,959,7,alternative,2
3823,265,15000,mainstream,2
3825,15000,28000,mainstream,2
3832,254,861,mainstream,2
3834,65000,41000,mainstream,2
3837,284,853,mainstream,2
3841,53,1,alternative,1
3847,31,15,alternative,1
3848,100,4,alternative,1
3850,24000,79,alternative,1
3851,35,23,alternative,1
3852,5,13,alternative,1
3853,22,7,alternative,1
3856,27,6,alternative,1
3857,172,38,alternative,1
3858,41,8,alternative,1
3859,263,138,alternative,1
3860,117000,104,alternative,1
3862,39,45,alternative,1
3863,363,156,alternative,1
3864,66,35,alternative,1
3865,40,42,alternative,1
3880,186,189,mainstream,2
3884,4,1,alternative,1
3885,22,0,alternative,2
3886,26000,23,alternative,1
3887,84000,80,alternative,1
3888,32000,713,alternative,1
3892,611,223,alternative,1
3893,1000,375,alternative,1
3895,18000,648,alternative,1
3896,204000,51000,alternative,1
3897,942,656,alternative,1
4009,92000,178000,mainstream,2
4011,8000,56000,mainstream,2
4025,11000,148,alternative,1
4026,133,101,alternative,1
4027,43000,281,alternative,1
4029,35000,311,alternative,1
4030,12000,189,alternative,1
4032,931,140,alternative,1
4060,22,1,mainstream,2
4061,624,0,alternative,1
4062,528,12,alternative,1
4076,69,72,mainstream,2
4078,562,7,alternative,1
4086,66,1,alternative,2
4111,463,35,mainstream,1
4136,227,243,alternative,1
4139,103000,257,alternative,1
4150,25,4,alternative,1
4166,4,1,alternative,1
4173,519000,293000,mainstream,1
4175,121000,24000,mainstream,1
4176,39000,668,mainstream,1
4189,41000,27000,mainstream,1
4191,485000,154000,mainstream,1
4194,113000,970,mainstream,1
4212,317000,28000,mainstream,1
4252,44000,490,mainstream,1
4257,38,65,socialmedia,1
4258,34,2,socialmedia,1
4259,26,56,socialmedia,1
4260,334,795,socialmedia,1
4262,49,12,alternative,1
4263,87,37,alternative,1
4264,17,13,alternative,1
4265,205,48,alternative,1
4266,87,21,alternative,1
4267,14,10,alternative,1
4270,47,26,alternative,1
4288,25,1,alternative,1
4289,13000,415,alternative,1
4290,37000,1000,alternative,1
4293,344000,38,alternative,1
4308,6,0,alternative,1
4323,17000,73,alternative,1
4328,3000,26000,alternative,1
4338,26000,8,alternative,1
4342,167,100,alternative,1
4344,778,10,alternative,1
4345,18,6,alternative,1
4346,154,23,alternative,1
4347,17,4,alternative,1
4348,123,50,alternative,1
4349,26,6,alternative,1
4353,375,54,alternative,1
4354,11000,150,alternative,1
4359,42,24,alternative,1
4360,51,12,alternative,1
4361,130,156,alternative,1
4362,69000,407,alternative,1
4364,17,20,alternative,1
4365,277,29,alternative,1
4366,21000,337,alternative,1
4367,355,174,alternative,1
4368,84,32,alternative,1
4369,153000,43000,alternative,1
4371,14,2,alternative,1
4372,4,3,alternative,1
4373,279,33,alternative,1
4374,12000,444,alternative,1
4375,67,11,alternative,1
4378,24000,91000,alternative,1
4380,245,66,alternative,1
4381,156000,117,alternative,1
4382,443,72,alternative,1
4383,273000,237,alternative,1
4384,416,198,alternative,1
7974,222,33,alternative,1
7975,108,68,alternative,1
7984,81000,2000,mainstream,2
8002,24000,408,mainstream,1
8014,183,76,alternative,1
8051,14000,217,alternative,1
8052,413,76,alternative,1
8053,979,213,alternative,1
8056,799,98,alternative,1
8057,133,24,alternative,1
8058,1000,320,alternative,1
8059,199000,26000,alternative,1
8060,19000,610,alternative,1
8061,156000,145000,alternative,1
8062,278,82,alternative,1
8063,51,6,alternative,1
8064,765,103,alternative,1
8065,765,103,alternative,1
8066,660,543,alternative,1
8067,412,103,alternative,1
8071,82,9,alternative,1
8072,15000,257,alternative,1
8073,342,12,alternative,1
8099,263,27,alternative,1
8100,8,23,alternative,1
8101,98,30,alternative,1
8106,215,0,socialmedia,2
8107,9,3,alternative,1
8108,3,1,alternative,1
8115,45,4,alternative,1
8124,783,17,mainstream,1
8131,173,59,alternative,1
8151,132,25,mainstream,2
8152,524,220,mainstream,1
8164,369,14,alternative,1
8170,135000,536,mainstream,2
8176,293000,17000,mainstream,2
8189,4136000,11000,mainstream,2
8203,25000,22000,alternative,1
8205,240,61,alternative,1
8206,327,69,alternative,1
8207,112,55,alternative,1
8208,327,128,alternative,1
8210,428,96,alternative,1
8211,672,113,alternative,1
8212,11000,189,alternative,1
8216,855,240,alternative,1
8217,238,75,alternative,1
8218,467,70,alternative,1
8219,102,56,alternative,1
8228,334,211,alternative,1
8231,131,64,alternative,1
8246,47000,729,alternative,1
8247,205,34,alternative,1
8248,19,6,alternative,1
8249,5,28,alternative,1
8250,138,5,alternative,1
8251,326,35,alternative,1
8256,5,11,alternative,1
8257,5,2,alternative,1
8259,1,2,alternative,1
8260,1,3,alternative,1
8263,26,1,alternative,1
8264,16,10,alternative,1
8278,236,384,socialmedia,1
8293,554,55,alternative,1
8307,204,0,alternative,1
8319,35,0,socialmedia,2
8343,153,818,socialmedia,1
8347,103,21,alternative,1
8348,78,43,alternative,1
8349,207,36,alternative,1
8351,451,191,alternative,1
8352,84,17,alternative,1
8353,57,15,alternative,1
8359,11000,98,alternative,1
8360,86000,445,alternative,1
